trip_count ,duration_sum        ,duration_avg        ,dim_year,dim_month,dim_hour,dim_user                                          
       1473,             1208143,                 820,    2021,       11,       1,Casual Member                                     
      12912,            12354463,                 956,    2021,       11,      16,Casual Member                                     
      12311,             9612464,                 780,    2021,       11,      18,Casual Member                                     
       6518,             5471156,                 839,    2021,       11,      20,Casual Member                                     
        441,              571895,                1296,    2020,        8,       5,Casual Member                                     
       1745,             3071074,                1759,    2020,        8,       7,Casual Member                                     
      12461,             9872532,                 792,    2020,        8,      10,Annual Member                                     
      17680,            13674044,                 773,    2020,        8,      12,Annual Member                                     
       7861,            12846873,                1634,    2020,        8,      22,Casual Member                                     
       2635,             4161892,                1579,    2020,        9,       0,Casual Member                                     
        986,             3559403,                3609,    2020,        9,       2,Casual Member                                     
        281,              811293,                2887,    2020,        9,       4,Casual Member                                     
      15002,            21188325,                1412,    2020,        9,      19,Casual Member                                     
      14930,            12099374,                 810,    2020,        9,      20,Annual Member                                     
       7294,             5638999,                 773,    2020,        9,      22,Annual Member                                     
        481,              386213,                 802,    2022,        4,       5,Casual Member                                     
       2736,             2351423,                 859,    2022,        4,       7,Casual Member                                     
       7108,             4868859,                 684,    2022,        4,       8,Annual Member                                     
       2332,             1436192,                 615,    2022,        4,      23,Annual Member                                     
       3460,             2526539,                 730,    2021,        3,      21,Annual Member                                     
       1454,              933716,                 642,    2021,        3,      23,Annual Member                                     
         51,               70620,                1384,    2021,        3,       3,Casual Member                                     
        219,              131127,                 598,    2021,        3,       4,Annual Member                                     
       1641,             1112855,                 678,    2021,        3,       6,Annual Member                                     
        671,             1182907,                1762,    2021,        4,       0,Casual Member                                     
        604,              391789,                 648,    2021,        4,       1,Annual Member                                     
      13626,            11570332,                 849,    2021,        4,      16,Annual Member                                     
      15005,            12622221,                 841,    2021,        4,      18,Annual Member                                     
       7668,             5984151,                 780,    2021,        4,      20,Annual Member                                     
      15553,            14294025,                 919,    2022,       10,      11,Casual Member                                     
      20502,            19746277,                 963,    2022,       10,      13,Casual Member                                     
        811,              459882,                 567,    2022,       11,       5,Annual Member                                     
      13552,            10673815,                 787,    2022,       11,       8,Casual Member                                     
       9121,             7541391,                 826,    2022,       11,      10,Casual Member                                     
        802,              467135,                 582,    2022,       12,       0,Annual Member                                     
